Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
25/08/2005 00:00,8459.32,7724.27,8399.54,,263.11,240.25,261.25
26/07/2005 00:00,7979.82,7791.96,7809.75,,248.2,242.36,242.91
26/06/2005 00:00,7903.81,7646.85,7837.25,,245.84,237.84,243.77
27/05/2005 00:00,7849.59,7298.31,7745.57,,244.15,227,240.91
27/04/2005 00:00,7394.54,7199.05,7381.69,,230,223.92,229.6
28/03/2005 00:00,7386.13,7176.65,7367.6,,229.73,223.22,229.16
26/02/2005 00:00,7460.37,7128,7321.03,,232.04,221.71,227.71
27/01/2005 00:00,7355.1,7057.81,7274.92,,228.77,219.52,226.28
28/12/2004 00:00,7423.73,7147.06,7284.81,,230.9,222.3,226.58
28/11/2004 00:00,7859.93,7222.94,7394.02,,244.47,224.66,229.98
29/10/2004 00:00,7857.34,7303.84,7803.46,,244.39,227.17,242.71
29/09/2004 00:00,7600.87,7294.71,7446.37,,236.41,226.89,231.61
30/08/2004 00:00,7356.59,7135.42,7319.39,,228.82,221.94,227.66
31/07/2004 00:00,7325.59,6833.69,7251.13,,227.85,212.55,225.54
01/07/2004 00:00,7097.37,6797.63,6905.62,,220.75,211.43,214.79
01/06/2004 00:00,7124.47,6899.21,6948.61,,221.6,214.59,216.13
02/05/2004 00:00,7122.69,6798.52,6929.59,,221.54,211.46,215.53
